About,Om,
Add,Lägg till,
Address,Adress,
Amended From,Ändrad Från,
Category,Kategori,
City,Ort,
Client,Klient,
Contact,Kontakt,
Contacts,Kontakter,
Country,Land,
Description,Beskrivning,
Designation,Befattning,
Details,Detaljer,
Draft,Utkast,
Email,E-post,
End Date,Slut Datum,
Events,Händelser,
External,Extern,
Frappe Support,Frappe Support,
Full Name,Fullständig Namn,
General,Allmän,
Is Active,Är Aktiv,
Is Group,Är Grupp,
Items,Artiklar,
Keyboard Shortcuts,Kort Kommando,
Left,Vänster,
Location,Plats,
Name,Namn,
Other,Annat,
Phone,Telefon,
Position,Position,
Progress,Framsteg,
Project,Projekt,
Provider,Leverantör,
Reason,Anledning,
Right,Höger,
Rules,Regler,
Status,Status,
System Health,System Status,
System Manager,System Ansvarig,
To,Till,
Type,Typ ,
Value,Värde,
Website,Webbplats,
