About,Hakkında,
Add,Yeni,
Address,Adres,
Category,Kategori,
Client,İstemci,
Contact,Kişi,
Contacts,Kişiler,
Country,Ülke,
Description,Açıklama,
Details,Ayrıntılar,
Draft,Taslak,
Email,E-posta,
End Date,Bitiş Tarihi,
Events,Etkinlikler,
External,Dış,
Frappe Support,Frappe Desteği,
Full Name,Tam Adı,
General,Genel,
Is Group,Grup,
Items,Ürünler,
Keyboard Shortcuts,Klavye Kısayolları,
Left,Ayrıldı,
Name,Adı,
Other,Diğer,
Position,Pozisyon,
Project,Proje,
Provider,Sağlayıcı,
Reason,Nedeni,
Right,Sağ,
Status,Durum,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
To,Kime,
Type,Türü,
Value,Değer,
Website,Website,
