About,О,
Add,Додај,
Address,Адреса,
Amended From,Измењено из,
Category,Категорија,
City,Град,
Client,Клијент,
Contact,Контакт,
Contacts,Контакти,
Country,Држава,
Description,Опис,
Designation,Титула,
Details,Детаљи,
Draft,Нацрт,
Email,Имејл,
End Date,Датум завршетка,
Events,Догађаји,
External,Екстерни,
Frappe Support,Frappe подршка,
Full Name,Име и презиме,
General,Опште,
Is Active,Активно,
Is Group,Група,
Items,Ставке,
Keyboard Shortcuts,Пречице на тастатури,
Left,Лево,
Location,Локација,
Name,Назив,
Other,Остало,
Phone,Телефон,
Position,Позиција,
Progress,Напредак,
Project,Пројекат,
Provider,Провајдер,
Reason,Разлог,
Right,Десно,
Rules,Правила,
Status,Статус,
System Health,Стање система,
System Manager,Систем менаџер,
To,За,
Type,Врста,
Value,Вредност,
Website,Веб-сајт,
