About,درباره,
Add,افزودن,
Address,آدرس,
Category,دسته بندی,
City,شهر,
Client,مشتری,
Contact,مخاطب,
Contacts,مخاطب,
Country,کشور,
Description,شرح,
Designation,نقش سازمانی,
Details,جزئیات,
Draft,پیش‌نویس,
Email,ایمیل,
End Date,تاریخ پایان,
Events,رویدادها,
External,بیرونی,
Frappe Support,پشتیبانی Frappe,
Full Name,نام و نام خانوادگی,
General,عمومی,
Is Active,فعال است,
Is Group,گروه است,
Items,آیتم‌ها,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Left,چپ,
Name,نام,
Other,سایر,
Phone,تلفن,
Position,موقعیت,
Progress,پیشرفت,
Project,پروژه,
Provider,ارائه دهنده,
Reason,دلیل,
Right,راست,
Rules,قوانین,
Status,وضعیت,
System Health,سلامت سیستم,
System Manager,مدیر سیستم,
To,به,
Type,نوع,
Value,مقدار,
Website,وب‌سایت,
